date,region,number
17/08/2020,North West,282
27/10/2020,London,2086
26/10/2020,London,2523
25/10/2020,London,1290
16/08/2020,North West,115
15/08/2020,North West,156
14/08/2020,North West,235
13/08/2020,North West,235
12/08/2020,North West,275
11/08/2020,North West,308
10/08/2020,North West,358
24/10/2020,London,1433
09/08/2020,North West,160
23/10/2020,London,2005
22/10/2020,London,2174
21/10/2020,London,2357
20/10/2020,London,2314
19/10/2020,London,2331
18/10/2020,London,1294
17/10/2020,London,1104
16/10/2020,London,1653
08/08/2020,North West,214
07/08/2020,North West,240
06/08/2020,North West,279
05/08/2020,North West,261
04/08/2020,North West,278
03/08/2020,North West,300
02/08/2020,North West,168
15/10/2020,London,1715
14/10/2020,London,1620
13/10/2020,London,1423
12/10/2020,London,1573
11/10/2020,London,742
10/10/2020,London,871
01/08/2020,North West,158
31/07/2020,North West,178
30/07/2020,North West,221
09/10/2020,London,1345
08/10/2020,London,1476
07/10/2020,London,1401
06/10/2020,London,1167
05/10/2020,London,1287
04/10/2020,London,819
03/10/2020,London,789
02/10/2020,London,1036
29/07/2020,North West,288
28/07/2020,North West,198
27/07/2020,North West,190
01/10/2020,London,1067
30/09/2020,London,987
29/09/2020,London,699
26/07/2020,North West,158
25/07/2020,North West,137
24/07/2020,North West,158
23/07/2020,North West,183
22/07/2020,North West,208
21/07/2020,North West,157
28/09/2020,London,740
20/07/2020,North West,164
19/07/2020,North West,93
18/07/2020,North West,106
17/07/2020,North West,110
27/09/2020,London,529
26/09/2020,London,548
25/09/2020,London,604
24/09/2020,London,599
16/07/2020,North West,149
15/07/2020,North West,146
14/07/2020,North West,109
23/09/2020,London,658
13/07/2020,North West,105
12/07/2020,North West,54
11/07/2020,North West,79
10/07/2020,North West,88
09/07/2020,North West,130
08/07/2020,North West,115
07/07/2020,North West,94
06/07/2020,North West,142
05/07/2020,North West,115
04/07/2020,North West,72
03/07/2020,North West,98
22/09/2020,London,519
21/09/2020,London,428
20/09/2020,London,410
02/07/2020,North West,98
01/07/2020,North West,114
30/06/2020,North West,102
29/06/2020,North West,123
28/06/2020,North West,93
19/09/2020,London,339
18/09/2020,London,387
27/06/2020,North West,93
26/06/2020,North West,105
25/06/2020,North West,126
24/06/2020,North West,159
17/09/2020,London,323
23/06/2020,North West,127
22/06/2020,North West,157
21/06/2020,North West,98
20/06/2020,North West,118
19/06/2020,North West,162
18/06/2020,North West,179
17/06/2020,North West,185
16/09/2020,London,293
15/09/2020,London,269
16/06/2020,North West,211
15/06/2020,North West,165
14/09/2020,London,300
13/09/2020,London,112
12/09/2020,London,230
11/09/2020,London,332
10/09/2020,London,391
09/09/2020,London,343
08/09/2020,London,343
07/09/2020,London,462
06/09/2020,London,205
05/09/2020,London,270
14/06/2020,North West,148
04/09/2020,London,355
03/09/2020,London,347
02/09/2020,London,333
13/06/2020,North West,127
