date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-10-04",region,E12000006,East of England,359
"2020-10-03",region,E12000006,East of England,359
"2020-10-02",region,E12000006,East of England,412
"2020-10-01",region,E12000006,East of England,359
"2020-09-30",region,E12000006,East of England,359
"2020-09-29",region,E12000006,East of England,332
"2020-09-28",region,E12000006,East of England,312
"2020-09-27",region,E12000006,East of England,208
"2020-09-26",region,E12000006,East of England,165
"2020-09-25",region,E12000006,East of England,216
"2020-09-24",region,E12000006,East of England,226
"2020-09-23",region,E12000006,East of England,193
"2020-09-22",region,E12000006,East of England,215
"2020-09-21",region,E12000006,East of England,166
"2020-09-20",region,E12000006,East of England,163
"2020-12-28",region,E12000003,Yorkshire and The Humber,259
"2020-09-19",region,E12000006,East of England,146
"2020-09-18",region,E12000006,East of England,206
"2020-09-17",region,E12000006,East of England,145
"2020-09-16",region,E12000006,East of England,142
"2020-09-15",region,E12000006,East of England,150
"2020-09-14",region,E12000006,East of England,142
"2020-09-13",region,E12000006,East of England,57
"2020-09-12",region,E12000006,East of England,83
"2020-12-27",region,E12000003,Yorkshire and The Humber,1631
"2020-09-11",region,E12000006,East of England,129
"2020-12-26",region,E12000003,Yorkshire and The Humber,1575
"2020-09-10",region,E12000006,East of England,164
"2020-12-25",region,E12000003,Yorkshire and The Humber,562
"2020-12-24",region,E12000003,Yorkshire and The Humber,1188
"2020-12-23",region,E12000003,Yorkshire and The Humber,1590
"2020-12-22",region,E12000003,Yorkshire and The Humber,1844
"2020-09-09",region,E12000006,East of England,127
"2020-12-21",region,E12000003,Yorkshire and The Humber,1970
"2020-09-08",region,E12000006,East of England,167
"2020-12-20",region,E12000003,Yorkshire and The Humber,1414
"2020-09-07",region,E12000006,East of England,154
"2020-12-19",region,E12000003,Yorkshire and The Humber,1016
"2020-12-18",region,E12000003,Yorkshire and The Humber,1450
"2020-09-06",region,E12000006,East of England,79
"2020-12-17",region,E12000003,Yorkshire and The Humber,1172
"2020-09-05",region,E12000006,East of England,97
"2020-12-16",region,E12000003,Yorkshire and The Humber,1224
"2020-09-04",region,E12000006,East of England,119
"2020-09-03",region,E12000006,East of England,152
